reactionid,equation,flux
R1872,R1872: GDMIPC_c + udpgal_c --> DGDMIPC_c + h_c + udp_c,2.8214040369152938e-05
R1873,R1873: DGDMIPC_c + udpgal_c --> TGDMIPC_c + h_c + udp_c,2.8214040369152934e-05
R1960,R1960: 0.181 udpacgal_c + 0.065 udpg_c + 0.754 udpgal_c --> GAG_c + udp_c,0.002845947911806525
R1961,R1961: 0.435 gdpmann_c + 0.1 udpg_c + 0.332 udpgal_c + 0.133 udpgalfur_c --> GGM_c + 0.435 gdp_c + 0.565 udp_c,0.025214550542329173
R1962,R1962: 0.5 o2_m + qh2_m --> h2o_m + q_m,2.600860903655937
R1967,R1967: IPC_c + gdpmann_c --> MIPC_c + gdp_c,2.8214040369152944e-05
R1968,R1968: h_c + nadph_c + o2_c + sql_c --> Ssq23epx_c + h2o_c + nadp_c,0.009983078415061398
R1970,R1970: CDOL_c + h_c + nadph_c --> 4mzym_c + nadp_c,0.009983078415061396
R1971,R1971: 4mzym_c + o2_c --> co2_c + 2.0 h_c + zymst_c,0.009983078415061396
R1974,R1974: 0.0097602 amp_c + 0.13641 atp_c + 0.016694 cmp_c + 0.01794 gmp_c + 0.080349 h2o_c + 0.011701 ump_c --> RNA_c + 0.13641 adp_c + 0.13641 pi_c,0.285393894084088
R1975_num1,R1975_num1: atp_c + h2o_c --> adp_c + h_c + pi_c,2.8
R2042,R2042: datp_c + h2o_c --> damp_c + h_c + ppi_c,0.005336865819372446
R2157,R2157: 4.0 He_m + h_m + nadh_m + q_m --> 4.0 He_i + nad_m + qh2_m,2.6062311384831025
R2158,R2158: 4.0 He_m + 2.0 ficytC_m + qh2_m --> 2.0 FERO_m + 4.0 He_i + 2.0 h_m + q_m,0.005370234827165278
R2159,R2159: 2.0 FERO_m + 4.0 He_m + 2.0 h_m + 0.5 o2_m --> 4.0 He_i + 2.0 ficytC_m + h2o_m,0.005370234827165278
R2160,R2160: 4.5454 He_i + adp_m + h_m + pi_m --> 4.5454 He_m + atp_m + h2o_m,2.3029626507127494
R2165,R2165: adp_c + atp_m --> adp_m + atp_c,1.4757551672974414
R2166,R2166: 0.25 CLCDPDG_c + 0.25 PCCDPDG_c + 0.25 PECDPDG_c + 0.25 PSCDPDG_c --> CDPDG_c,0.0003977991332080468
R2203,R2203: o2_e --> o2_c,1.8518716774096033
R2237_num1,R2237_num1: h_e + pi_e --> h_c + pi_c,0.051800207554244845
R2238,R2238: nh4_e --> nh4_c,2.134596236816922
R2241,R2241: so4_e --> so4_c,0.004138211464219277
R2256,R2256: arab__D_e --> arab__D_c,0.008781570120967386
R2299,R2299: h_e --> h_c,15.308537842624506
R2308,R2308: pyr_c --> pyr_m,2.113237387103906
R2316,R2316: fum_c --> fum_m,0.1062137327493607
R2321,R2321: ile__L_m --> ile__L_c,0.05739271210031009
R2322,R2322: h_c + orn_m --> h_m + orn__L_c,0.06629700159573364
R2325,R2325: glu__L_c + h_c --> glu__L_m + h_m,0.5904228880811611
R2326,R2326: akg_m + mal__L_c --> akg_c + mal__L_m,0.8428823267879458
R2329,R2329: o2_c --> o2_m,1.3031155692415513
R2331,R2331: nh4_c --> nh4_m,0.038850899116781704
R2334,R2334: coa_c --> coa_m,0.00013818772351544364
R2387,R2387: dcdp_c --> dcdp_m,0.005656506980746626
R2391,R2391: h2o_e --> ,1.907633150266276
R2392,R2392: co2_e --> ,20.29422001055173
R2422,R2422: etoh_e --> ,18.082954598272373
R2438,R2438: succ_e --> ,0.17687800294870765
Biomass,Biomass: BIOMASS_c --> ,0.285393894084088
R2531,R2531: 0.25 CERB1A_c + 0.25 CERB1B_c + 0.25 CERB1C_c + 0.25 CERB1D_c --> CERB1_c,8.521861677350865e-05
